group2	family2	genus2	group	family	genus	subspecies	stage	taxa	ID	DIN	shortcode	levelAQEM	LINK	LINK_ID	levelLINK
Bivalvia Gen. sp.	Myidae Gen. sp.	Arenomya sp.	Bivalvia	Myidae	Arenomya	NA	NA	Arenomya sp.	21258	NA	arenomsp	genus	Arenomya sp.	21258	genus
Bivalvia Gen. sp.	Myidae Gen. sp.	Myidae Gen. sp.	Bivalvia	Myidae	Myidae	NA	NA	Myidae Gen. sp.	21259	NA	myacgesp	family	Myidae Gen. sp.	21259	family
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilidae Gen. sp.	Bivalvia	Mytilidae	Mytilidae	NA	NA	Mytilidae Gen. sp.	20476	NA	mytilgen	family	Mytilidae Gen. sp.	20476	family
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilus sp.	Bivalvia	Mytilidae	Mytilus	NA	NA	Mytilus edulis	20478	1348	mytiedul	species	Mytilus sp.	20477	genus
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilus sp.	Bivalvia	Mytilidae	Mytilus	NA	NA	Mytilus galloprovincialis	21964	NA	mytigall	species	Mytilus sp.	20477	genus
Bivalvia Gen. sp.	Mytilidae Gen. sp.	Mytilus sp.	Bivalvia	Mytilidae	Mytilus	NA	NA	Mytilus sp.	20477	NA	mytilusp	genus	Mytilus sp.	20477	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Musculium sp.	Bivalvia	Sphaeriidae	Musculium	NA	NA	Musculium lacustre	7966	1179	musclacu	species	Musculium sp.	9095	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Musculium sp.	Bivalvia	Sphaeriidae	Musculium	NA	NA	Musculium sp.	9095	1577	muscsp.	genus	Musculium sp.	9095	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Musculium sp.	Bivalvia	Sphaeriidae	Musculium	NA	NA	Musculium transversum	16776	1368	musctran	species	Musculium sp.	9095	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	NA	NA	Pisidium amnicum	6409	1982	pisiamni	species	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	Pisidium casertanum ssp.	NA	Pisidium casertanum casertanum	6410	NA	casecase	subspecies	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	Pisidium casertanum ssp.	NA	Pisidium casertanum ponderosum	7805	1340	casecaca	subspecies	Pisidium sp.	6425	genus
Bivalvia Gen. sp.	Sphaeriidae Gen. sp.	Pisidium sp.	Bivalvia	Sphaeriidae	Pisidium	Pisidium casertanum ssp.	NA	Pisidium casertanum ssp.	19391	1102	piscassp	subspecies	Pisidium sp.	6425	genus
