group2	family2	genus2	group	family	genus	subspecies	stage	taxa	ID	DIN	shortcode	levelAQEM	LINK	LINK_ID	levelLINK
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes algibensis Lv.	16267	NA	deroallv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes angusi	17689	NA	deroang1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes angusi Ad.	16268	NA	deroanad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes angusi Lv.	16269	NA	deroanlv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes aubei	17690	20545	deroaub1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes aubei Ad.	11821	NA	deraubad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes aubei Lv.	11822	NA	deraublv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes bicostatus	17691	NA	derobic1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes bicostatus Ad.	16270	NA	derobiad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes bicostatus Lv.	16271	NA	derobilv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes brannani	17692	NA	derobra1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes brannani Ad.	16272	NA	derobrad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes brannani Lv.	16273	NA	derobrlv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes costipennis	17693	NA	derocos1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes costipennis Ad.	16274	NA	derocoad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes costipennis Lv.	16275	NA	derocolv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes delarouzi	17694	NA	derodel1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes delarouzi Ad.	11823	NA	derdelad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes delarouzi Lv.	11824	NA	derdellv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes depressicollis	17695	NA	derodep1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes depressicollis Ad.	16276	NA	derodead	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes depressicollis Lv.	16277	NA	derodelv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes fairmairei	17696	NA	derofai1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes fairmairei Ad.	11825	NA	derfaiad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes fairmairei Lv.	11826	NA	derfailv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes ferrugineus	17697	NA	derofer1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes ferrugineus Ad.	16278	NA	derofead	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes ferrugineus Lv.	16279	NA	derofelv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes fosteri	17698	NA	derofos1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes fosteri Ad.	16280	NA	derofoad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes fosteri Lv.	16281	NA	derofolv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes hispanicus	17699	NA	derohis1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes hispanicus Ad.	16282	NA	derohiad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes hispanicus Lv.	16283	NA	derohilv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes lareynii	17700	NA	derolar1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes lareynii Ad.	17323	NA	derlarad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes lareynii Lv.	17324	NA	derolare	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes latus	17701	182	derolat1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes latus Ad.	11829	NA	derolaad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes latus Lv.	4915	NA	derolatu	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes moestus	17702	NA	deromoe1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes moestus Ad.	11827	NA	dermoead	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes moestus Lv.	11828	NA	dermoelv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes opatrinus	17703	NA	deroopa1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes opatrinus Ad.	11831	NA	deropaad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes opatrinus Lv.	11832	NA	deropalv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes parvicollis	17704	NA	deropar1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes parvicollis Ad.	11834	NA	derparad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes parvicollis Lv.	11835	NA	derparlv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes platynotus	17705	675	deropla1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes platynotus Ad.	11833	NA	deroplad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes platynotus Lv.	4916	NA	deroplat	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes sahlbergi	17706	NA	derosah1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sahlbergi Ad.	11836	NA	dersahad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sahlbergi Lv.	11837	NA	dersahlv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes semirufus	17707	NA	derosem1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes semirufus Ad.	17325	NA	derosead	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes semirufus Lv.	17326	NA	derosemi	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes sp.	17708	373	derosp.1	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad.	11830	NA	deronead	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad. 1 (new sp. P)	14683	NA	dersp1ad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad. 2 (new sp. P)	14681	NA	dersp2ad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad. 3 (new sp. P)	14679	NA	dersp3ad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad. 4 (new sp. P)	14677	NA	dersp4ad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad. 5 (new sp. P)	14675	NA	dersp5ad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes sp. Ad. 6 (new sp. P)	14673	NA	dersp6ad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv.	4917	NA	deronesp	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv. 1 (new sp. P)	14682	NA	dersp1lv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv. 2 (new sp. P)	14680	NA	dersp2lv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv. 3 (new sp. P)	14678	NA	dersp3lv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv. 4 (new sp. P)	14676	NA	dersp4lv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv. 5 (new sp. P)	14674	NA	dersp5lv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes sp. Lv. 6 (new sp. P)	14672	NA	dersp6lv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	NA	Deronectes wewalkai	17709	NA	derowew1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Ad.	Deronectes wewalkai Ad.	16284	NA	derowead	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Deronectes sp.	Coleoptera	Dytiscidae	Deronectes	NA	Lv.	Deronectes wewalkai Lv.	16285	NA	derowelv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscidae Gen. sp.	Coleoptera	Dytiscidae	Dytiscidae	NA	NA	Dytiscidae Gen. sp.	17756	384	dytigen1	family	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscidae Gen. sp.	Coleoptera	Dytiscidae	Dytiscidae	NA	Ad.	Dytiscidae Gen. sp. Ad.	11625	NA	dytigead	family	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscidae Gen. sp.	Coleoptera	Dytiscidae	Dytiscidae	NA	Lv.	Dytiscidae Gen. sp. Lv.	5024	NA	dytigen.	family	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscidae (incl. Noteridae) Gen. sp.	Coleoptera	Dytiscidae	Dytiscidae (incl. Noteridae)	NA	NA	Dytiscidae (incl. Noteridae) Gen. sp.	20165	NA	dynogesp	family	Dytiscidae (incl. Noteridae) Gen. sp.	20165	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscinae Gen. sp.	Coleoptera	Dytiscidae	Dytiscinae	NA	NA	Dytiscinae Gen. sp.	17757	20897	dytgen.1	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscinae Gen. sp.	Coleoptera	Dytiscidae	Dytiscinae	NA	Ad.	Dytiscinae Gen. sp. Ad.	16808	NA	dytnspad	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscinae Gen. sp.	Coleoptera	Dytiscidae	Dytiscinae	NA	Lv.	Dytiscinae Gen. sp. Lv.	16809	NA	dytnsplv	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus circumcinctus	17758	10263	dyticir1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus circumcinctus Ad.	11778	NA	dytcitad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus circumcinctus Lv.	5025	NA	dytcitus	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus circumflexus	17759	10264	dytcirc1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus circumflexus Ad.	11779	NA	dytcixad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus circumflexus Lv.	5026	NA	dytcixus	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus dimidiatus	17760	10265	dytidim1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus dimidiatus Ad.	11780	NA	dytidiad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus dimidiatus Lv.	5027	NA	dytidimi	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus lapponicus	17761	20231	dytilap1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus lapponicus Ad.	11785	NA	dytlapad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus lapponicus Lv.	11786	NA	dytlaplv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus latissimus	17762	10266	dytilat1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus latissimus Ad.	11781	NA	dytilaad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus latissimus Lv.	5028	NA	dytilati	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus marginalis	17763	184	dytimar1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus marginalis Ad.	11782	NA	dytimaad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus marginalis Lv.	5029	NA	dytimarg	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus pisanus	17764	NA	dytipis1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus pisanus Ad.	11787	NA	dytpisad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus pisanus Lv.	11788	NA	dytpislv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus semisulcatus	17765	10267	dytisem1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus semisulcatus Ad.	11783	NA	dytisead	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus semisulcatus Lv.	5030	NA	dytisemi	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	NA	Dytiscus sp.	17766	183	dytisp.1	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Ad.	Dytiscus sp. Ad.	11784	NA	dytispad	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Dytiscus sp.	Coleoptera	Dytiscidae	Dytiscus	NA	Lv.	Dytiscus sp. Lv.	5031	NA	dytisp.	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Eretes sp.	Coleoptera	Dytiscidae	Eretes	NA	NA	Eretes sp.	17814	NA	eretsp.1	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Eretes sp.	Coleoptera	Dytiscidae	Eretes	NA	Ad.	Eretes sp. Ad.	14521	NA	eresspad	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Eretes sp.	Coleoptera	Dytiscidae	Eretes	NA	Lv.	Eretes sp. Lv.	14520	NA	eressplv	genus	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Eretes sp.	Coleoptera	Dytiscidae	Eretes	NA	NA	Eretes sticticus	17815	NA	eretsti1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Eretes sp.	Coleoptera	Dytiscidae	Eretes	NA	Ad.	Eretes sticticus Ad.	11626	NA	erestiad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Eretes sp.	Coleoptera	Dytiscidae	Eretes	NA	Lv.	Eretes sticticus Lv.	11627	NA	erestilv	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Graphoderus sp.	Coleoptera	Dytiscidae	Graphoderus	NA	NA	Graphoderus austriacus	17834	10268	grapaus1	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Graphoderus sp.	Coleoptera	Dytiscidae	Graphoderus	NA	Ad.	Graphoderus austriacus Ad.	11789	NA	grapauad	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Graphoderus sp.	Coleoptera	Dytiscidae	Graphoderus	NA	Lv.	Graphoderus austriacus Lv.	5339	NA	grapaust	species	Dytiscidae Gen. sp.	17756	family
Coleoptera Gen. sp.	Dytiscidae Gen. sp.	Graphoderus sp.	Coleoptera	Dytiscidae	Graphoderus	NA	NA	Graphoderus bilineatus	17835	20230	grapbil1	species	Dytiscidae Gen. sp.	17756	family
